created_at,text
2018-11-08 13:00:40,Q: How’s that Putin plan of sowing discord in the USA going? A: Effin way beyond his wildest dreams.… https://t.co/SvORG6G2jp
2018-11-08 13:00:05,"To be fair, @Acosta wasn’t at fault there. I just needed something else to deflect from my incompetence and losses… https://t.co/TPnf3Bh4Io"
2018-11-08 12:16:44,How in the world does a president who thinks it’s okay to grab women “by the pussy” revoke the credentials of a jou… https://t.co/q3aGse8Uul
2018-11-08 11:49:58,Genuinely concerned that i can't find any update from @FoxNews on the #migrant #CaravanInvasion since the… https://t.co/e1e9BEIAIV
2018-11-08 11:49:52,"#MidtermElection2018 over, life can return to normal: 13 dead in mass shooting in Thousand Oaks"
2018-11-08 11:14:55,To have such fearless voice is truly admirable specially in the era when journalists are crawling before the politi… https://t.co/pn9SJ2WbZv
2018-11-08 11:13:43,"ODIHR on Midterms. The number of disenfranchised high. Social media mentioned, including in connection with negativ… https://t.co/LbwOkUVe3H"
2018-11-08 10:59:32,"@usminority I can no longer add people, since the elections. #shadowbanned #elections #MidtermElection2018 #poorloosers"
2018-11-08 10:19:56,"Midterms is now over , but Political drama is far from over #MidtermElection2018"
2018-11-08 10:13:26,"Kinda funny how republicans are stating hey look, no riots because we lost the house... its never been over control… https://t.co/deKly8qNif"
2018-11-08 09:41:54,"What strikes me the most in the wake of  #MidtermElection2018 is the misleading neutrality with which, on US as wel… https://t.co/pHL3w26k6O"
2018-11-08 09:40:09,Hey guys the next thing #CNNFake news will do is put out a report today claiming that Jim Acosta is getting death t… https://t.co/tjNQjSrfCs
2018-11-08 08:49:22,I can almost say that I'm proud to be American... #MidtermElection2018 #election2020
2018-11-08 08:33:11,"@staceyabrams 
#MidtermElection2018 
Accept defeat gracefully Stacey.
No one likes a bad loser 😁"
2018-11-08 08:28:11,@hughriminton Are there any toys left in the cot? #POTUS45 #sook #MidtermElection2018 @realDonaldTrump
2018-11-08 08:21:31,"Thanks to Trump, Acosta is a reporter that is well known across the country, even the world. I think he will be hir… https://t.co/JW7DoAtKFf"
